loss = 1.4629734171334745, MAPE = 0.1887285115476357
loss = 1.7030220493547532, MAPE = 0.22086115922315563
loss = 1.6003345011507693, MAPE = 0.3468830174828164
loss = 1.8937455958661282, MAPE = 0.8466904681240348
loss = 1.5074978667774932, MAPE = 0.4460403947481861
loss = 1.5373639809710726, MAPE = 0.2344234764080575
loss = 1.7003774761863257, MAPE = 0.9158460586125196
loss = 1.5307201154145762, MAPE = 0.3781090990695628
loss = 1.5606026757271185, MAPE = 0.3542949871986612
loss = 1.7636369224494253, MAPE = 0.3533081170271834
loss = 1.5464993238010425, MAPE = 0.4839447423245169
loss = 1.4898239119911871, MAPE = 0.28935125328202327
loss = 1.677375324423172, MAPE = 0.5376660548567536
loss = 1.7843216471229988, MAPE = 0.3949936991942139
loss = 1.4978095305249717, MAPE = 0.32451090013276673
loss = 1.7852280615716027, MAPE = 0.3645785259315441
loss = 1.741755136942369, MAPE = 0.8307996067977865
loss = 1.5389627617546744, MAPE = 0.3156396136433475
loss = 1.7310068884350571, MAPE = 0.5822304204056367
loss = 1.527995192121176, MAPE = 0.31721752068835923
loss = 1.7211789176547065, MAPE = 0.2880703125485094
loss = 1.4579266456634097, MAPE = 0.21823873342995703
loss = 1.4174153084715253, MAPE = 1.0007720134345612
loss = 1.4715634440151264, MAPE = 0.3956703040776391
loss = 1.5431350479778334, MAPE = 0.33797955324709494
loss = 1.6993006745498627, MAPE = 0.7408903311258801
loss = 1.6622632004960616, MAPE = 0.33131439276534813
